TimeGenerated,Timestamp,DeviceName,FileName,FolderPath,SHA256,InitiatingProcessFileName,InitiatingProcessFolderPath,Type
2026-04-28T13:53:57Z,2026-04-28T13:53:57Z,SVR-WEB-01,shlwapi.dll,C:\Windows\System32,64d06ac57b9712a7b3cd35a9232759b6203cc4e6f64b288ec5e189c093d2840e,EXCEL.EXE,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:01:35Z,2026-04-28T14:01:35Z,LAP-SALES-03,advapi32.dll,C:\Windows\System32,1fea656dc1e79b4a0aad842286beb66bf37eea7b2cffac4649f345cddc209726,chrome.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:03:49Z,2026-04-28T14:03:49Z,WS-OPS-01,advapi32.dll,C:\Windows\System32,545c53ebc537b149162797912772a98474f2eda05a08946e4d008ceea3adbc02,Teams.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:09:08Z,2026-04-28T14:09:08Z,WS-OPS-02,System.Core.dll,C:\Windows\System32,722b4c21f617e18ed98bb507b3c499eba3eb12c36ae79ccc2e2933511b000d76,svchost.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:10:16Z,2026-04-28T14:10:16Z,WS-IT-02,msvcrt.dll,C:\Windows\System32,a2dcac45078ee7f1b6576ec962c3828f2f19528dfe4a8c190ccf2e6b5358f1dd,code.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:12:27Z,2026-04-28T14:12:27Z,LAP-SALES-03,winhttp.dll,C:\Windows\System32,f55b8e888921a122b69c48532d0dd16bf014a030a5d132a6df175c77f29beab7,RuntimeBroker.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:14:43Z,2026-04-28T14:14:43Z,WS-HR-03,shell32.dll,C:\Windows\System32,90e7b281eb3ff29feff639a487710a6fd016e764ca8bc2995bd730ef6ae4a614,services.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:16:47Z,2026-04-28T14:16:47Z,SVR-WEB-01,combase.dll,C:\Windows\System32,e12069a981e76dec4debd210482a58367fa82a6e875e7286bac7695cf2cd703f,lsass.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:21:08Z,2026-04-28T14:21:08Z,LAP-EXEC-01,shlwapi.dll,C:\Windows\System32,626aa6026c382fbebbc0eae8fd86835f0123502166ffc9adb174271c4eacd9a2,svchost.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:22:22Z,2026-04-28T14:22:22Z,WS-IT-01,ole32.dll,C:\Windows\System32,0d78b9a98aeb63aa6b1d806f7553cbd890a048ca7d9152392e365500771547dc,Teams.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:22:41Z,2026-04-28T14:22:41Z,LAP-EXEC-01,msvcrt.dll,C:\Windows\System32,59a6df76a64a52c0d7633098c766f0c3efef7767ef692dc386f562f4f2a68069,lsass.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:24:05Z,2026-04-28T14:24:05Z,WS-MKT-02,kernel32.dll,C:\Windows\System32,53c851f54a05fb3e917cb0905dfed8cf216fbd947daafcbb52d723f5ab38117c,RuntimeBroker.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:25:09Z,2026-04-28T14:25:09Z,LAP-EXEC-01,kernel32.dll,C:\Windows\System32,d432b835e5e09248aa4de105fa0255ece9d6201ffe10bba6d9d1935c3d2170f8,wininit.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:34:18Z,2026-04-28T14:34:18Z,WS-IT-01,ntdll.dll,C:\Windows\System32,f5d5a95dff0a40a5c8d3b4025d07ee9a98a0f328355c33d1db2f8e6b4b0c8ee0,lsass.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:38:37Z,2026-04-28T14:38:37Z,WS-IT-01,msvcrt.dll,C:\Windows\System32,c596965f5e4f20fa3c91a2ec325f5746d11b35993f1d0cec93b4c4697d26059e,services.exe,C:\Windows\System32,DeviceImageLoadEvents
2026-04-28T14:40:26Z,2026-04-28T14:40:26Z,WS-MKT-02,mscoree.dll,C:\Windows\System32,0f47d20ea11c74962bfa8a736338d5222aec5cd1b6c860a17f72a395801af805,services.exe,C:\Windows\System32,DeviceImageLoadEvents
